,topic,status
0,Artificial Intelligence,selected
1,Machine Learning,pending
2,Deep Learning,pending
3,Neural Networks,pending
4,Natural Language Processing,pending
5,Computer Vision,pending
6,Robotics,pending
7,Expert Systems,pending
8,Speech Recognition,pending
9,Data Mining,pending
10,Predictive Analytics,pending
11,Reinforcement Learning,pending
12,Fuzzy Logic,pending
13,Genetic Algorithms,selected
14,Artificial Neural Networks,pending
15,Natural Language Understanding,pending
16,Multi-agent Systems,pending
17,Affective Computing,pending
18,Computational Creativity,pending
19,Ambient Intelligence,selected
